date,station,boardings
2026-08-03,Times Sq-42 St,58210
2026-08-03,Grand Central-42 St,49875
2026-08-03,Union Sq-14 St,37640
2026-08-04,Times Sq-42 St,61120
2026-08-04,Grand Central-42 St,52310
2026-08-04,Union Sq-14 St,39280
2026-08-05,Times Sq-42 St,60480
2026-08-05,Grand Central-42 St,51790
2026-08-05,Union Sq-14 St,38950
2026-08-06,Times Sq-42 St,62030
2026-08-06,Grand Central-42 St,53040
2026-08-06,Union Sq-14 St,39870
2026-08-07,Times Sq-42 St,64510
2026-08-07,Grand Central-42 St,54920
2026-08-07,Union Sq-14 St,41230
2026-08-08,Times Sq-42 St,45870
2026-08-08,Grand Central-42 St,31240
2026-08-08,Union Sq-14 St,33580
2026-08-09,Times Sq-42 St,38120
2026-08-09,Grand Central-42 St,24610
2026-08-09,Union Sq-14 St,28940
2026-08-10,Times Sq-42 St,59340
2026-08-10,Grand Central-42 St,50680
2026-08-10,Union Sq-14 St,38010
2026-08-11,Times Sq-42 St,61870
2026-08-11,Grand Central-42 St,52990
2026-08-11,Union Sq-14 St,39640
2026-08-12,Times Sq-42 St,60750
2026-08-12,Grand Central-42 St,51420
2026-08-12,Union Sq-14 St,38760
2026-08-13,Times Sq-42 St,62910
2026-08-13,Grand Central-42 St,53680
2026-08-13,Union Sq-14 St,40190
2026-08-14,Times Sq-42 St,65230
2026-08-14,Grand Central-42 St,55410
2026-08-14,Union Sq-14 St,41780
2026-08-15,Times Sq-42 St,46590
2026-08-15,Grand Central-42 St,31980
2026-08-15,Union Sq-14 St,34120
2026-08-16,Times Sq-42 St,38740
2026-08-16,Grand Central-42 St,25130
2026-08-16,Union Sq-14 St,29310
